AID	Panel ID	SID	CID	Activity	AC Value (micromolar)	AC Name	BioAssay Name	Protein Accession	Target Name	Outcome Method	PubMed ID	GeneID	Target Count (active)	Target Count (tested)
326468	0	103577973	44457253	Unspecified	87	IC50	Inhibition of purified human recombinant IDO expressed in TREx cells	P14902		Confirmatory	18318466	3620	1	1
326468	0	103578066	44457280	Active	6.8	IC50	Inhibition of purified human recombinant IDO expressed in TREx cells	P14902		Confirmatory	18318466	3620	1	1
326468	0	103578107	12239942	Unspecified	69	IC50	Inhibition of purified human recombinant IDO expressed in TREx cells	P14902		Confirmatory	18318466	3620	1	1
439709	0	103700376	44597277	Unspecified	2	IC50	Inhibition of indoleamine 2,3-dioxygenase in IFN-gamma-stimulated human HeLa cells assessed as kynurenine formation by spectrophotometry	P14902		Confirmatory	19507862	3620	0	1
439709	0	103700375	44597276	Unspecified	2	IC50	Inhibition of indoleamine 2,3-dioxygenase in IFN-gamma-stimulated human HeLa cells assessed as kynurenine formation by spectrophotometry	P14902		Confirmatory	19507862	3620	0	1
439709	0	103700374	44597275	Unspecified	2	IC50	Inhibition of indoleamine 2,3-dioxygenase in IFN-gamma-stimulated human HeLa cells assessed as kynurenine formation by spectrophotometry	P14902		Confirmatory	19507862	3620	1	1
439709	0	103700368	44597169	Unspecified	2	IC50	Inhibition of indoleamine 2,3-dioxygenase in IFN-gamma-stimulated human HeLa cells assessed as kynurenine formation by spectrophotometry	P14902		Confirmatory	19507862	3620	0	1
439709	0	103700369	44597274	Unspecified	2	IC50	Inhibition of indoleamine 2,3-dioxygenase in IFN-gamma-stimulated human HeLa cells assessed as kynurenine formation by spectrophotometry	P14902		Confirmatory	19507862	3620	0	1
439709	0	103700367	44597383	Active	0.012	IC50	Inhibition of indoleamine 2,3-dioxygenase in IFN-gamma-stimulated human HeLa cells assessed as kynurenine formation by spectrophotometry	P14902		Confirmatory	19507862	3620	1	1
439709	0	103700349	11978742	Active	0.019	IC50	Inhibition of indoleamine 2,3-dioxygenase in IFN-gamma-stimulated human HeLa cells assessed as kynurenine formation by spectrophotometry	P14902		Confirmatory	19507862	3620	2	4
439709	0	103700337	11978624	Active	0.97	IC50	Inhibition of indoleamine 2,3-dioxygenase in IFN-gamma-stimulated human HeLa cells assessed as kynurenine formation by spectrophotometry	P14902		Confirmatory	19507862	3620	1	1
439709	0	103700336	11978623	Active	6.8	IC50	Inhibition of indoleamine 2,3-dioxygenase in IFN-gamma-stimulated human HeLa cells assessed as kynurenine formation by spectrophotometry	P14902		Confirmatory	19507862	3620	1	1
439709	0	103700335	44597278	Active	0.225	IC50	Inhibition of indoleamine 2,3-dioxygenase in IFN-gamma-stimulated human HeLa cells assessed as kynurenine formation by spectrophotometry	P14902		Confirmatory	19507862	3620	1	1
439709	0	103700403	11978510	Active	1.5	IC50	Inhibition of indoleamine 2,3-dioxygenase in IFN-gamma-stimulated human HeLa cells assessed as kynurenine formation by spectrophotometry	P14902		Confirmatory	19507862	3620	1	1
439709	0	103700399	5367120	Active	0.49	IC50	Inhibition of indoleamine 2,3-dioxygenase in IFN-gamma-stimulated human HeLa cells assessed as kynurenine formation by spectrophotometry	P14902		Confirmatory	19507862	3620	2	509
439709	0	103700398	5755869	Active	1	IC50	Inhibition of indoleamine 2,3-dioxygenase in IFN-gamma-stimulated human HeLa cells assessed as kynurenine formation by spectrophotometry	P14902		Confirmatory	19507862	3620	1	1
439709	0	103700272	11977838	Active	0.054	IC50	Inhibition of indoleamine 2,3-dioxygenase in IFN-gamma-stimulated human HeLa cells assessed as kynurenine formation by spectrophotometry	P14902		Confirmatory	19507862	3620	1	1
439709	0	103700255	5852646	Active	0.12	IC50	Inhibition of indoleamine 2,3-dioxygenase in IFN-gamma-stimulated human HeLa cells assessed as kynurenine formation by spectrophotometry	P14902		Confirmatory	19507862	3620	3	460
439709	0	103700254	11977720	Active	0.017	IC50	Inhibition of indoleamine 2,3-dioxygenase in IFN-gamma-stimulated human HeLa cells assessed as kynurenine formation by spectrophotometry	P14902		Confirmatory	19507862	3620	1	1
439709	0	103700211	11978511	Active	0.019	IC50	Inhibition of indoleamine 2,3-dioxygenase in IFN-gamma-stimulated human HeLa cells assessed as kynurenine formation by spectrophotometry	P14902		Confirmatory	19507862	3620	1	1
439709	0	103700216	5827772	Active	2.4	IC50	Inhibition of indoleamine 2,3-dioxygenase in IFN-gamma-stimulated human HeLa cells assessed as kynurenine formation by spectrophotometry	P14902		Confirmatory	19507862	3620	1	1
439709	0	103700213	11955091	Active	0.27	IC50	Inhibition of indoleamine 2,3-dioxygenase in IFN-gamma-stimulated human HeLa cells assessed as kynurenine formation by spectrophotometry	P14902		Confirmatory	19507862	3620	1	1
443996	0	103206639	3037	Inconclusive		IC50	Inhibition of human recombinant IDO expressed in HEK293 cells assessed as blockade of tryptophan degradation by HPLC	P14902		Confirmatory	20055453	3620	57	529
443996	0	103469191	137153	Unspecified	70	IC50	Inhibition of human recombinant IDO expressed in HEK293 cells assessed as blockade of tryptophan degradation by HPLC	P14902		Confirmatory	20055453	3620	3	5
443996	0	103469261	9942176	Inconclusive		IC50	Inhibition of human recombinant IDO expressed in HEK293 cells assessed as blockade of tryptophan degradation by HPLC	P14902		Confirmatory	20055453	3620	1	4
443996	0	103481509	11305	Active	10	IC50	Inhibition of human recombinant IDO expressed in HEK293 cells assessed as blockade of tryptophan degradation by HPLC	P14902		Confirmatory	20055453	3620	2	3
443996	0	103608312	416002	Inconclusive		IC50	Inhibition of human recombinant IDO expressed in HEK293 cells assessed as blockade of tryptophan degradation by HPLC	P14902		Confirmatory	20055453	3620	6	6
443996	0	103579834	676159	Unspecified	90	IC50	Inhibition of human recombinant IDO expressed in HEK293 cells assessed as blockade of tryptophan degradation by HPLC	P14902		Confirmatory	20055453	3620	2	4
443996	0	318464308	44465701	Active	25	IC50	Inhibition of human recombinant IDO expressed in HEK293 cells assessed as blockade of tryptophan degradation by HPLC	P14902		Confirmatory	20055453	3620	1	3
443996	0	318464309	46180669	Unspecified	50	IC50	Inhibition of human recombinant IDO expressed in HEK293 cells assessed as blockade of tryptophan degradation by HPLC	P14902		Confirmatory	20055453	3620	1	3
443996	0	103707586	45487202	Inconclusive		IC50	Inhibition of human recombinant IDO expressed in HEK293 cells assessed as blockade of tryptophan degradation by HPLC	P14902		Confirmatory	20055453	3620	1	3
443996	0	103707587	44466195	Inconclusive		IC50	Inhibition of human recombinant IDO expressed in HEK293 cells assessed as blockade of tryptophan degradation by HPLC	P14902		Confirmatory	20055453	3620	1	3
443996	0	103707593	3266369	Active	7	IC50	Inhibition of human recombinant IDO expressed in HEK293 cells assessed as blockade of tryptophan degradation by HPLC	P14902		Confirmatory	20055453	3620	2	3
443996	0	103707543	45487187	Inconclusive		IC50	Inhibition of human recombinant IDO expressed in HEK293 cells assessed as blockade of tryptophan degradation by HPLC	P14902		Confirmatory	20055453	3620	0	3
443996	0	103707532	45487181	Unspecified	50	IC50	Inhibition of human recombinant IDO expressed in HEK293 cells assessed as blockade of tryptophan degradation by HPLC	P14902		Confirmatory	20055453	3620	3	3
443996	0	103707552	17815	Inconclusive		IC50	Inhibition of human recombinant IDO expressed in HEK293 cells assessed as blockade of tryptophan degradation by HPLC	P14902		Confirmatory	20055453	3620	1	3
443996	0	103707520	3000729	Active	4	IC50	Inhibition of human recombinant IDO expressed in HEK293 cells assessed as blockade of tryptophan degradation by HPLC	P14902		Confirmatory	20055453	3620	21	455
443996	0	103707597	45487209	Unspecified	50	IC50	Inhibition of human recombinant IDO expressed in HEK293 cells assessed as blockade of tryptophan degradation by HPLC	P14902		Confirmatory	20055453	3620	1	3
443996	0	103707631	45487219	Inconclusive		IC50	Inhibition of human recombinant IDO expressed in HEK293 cells assessed as blockade of tryptophan degradation by HPLC	P14902		Confirmatory	20055453	3620	1	3
443996	0	103707632	44465702	Active	12.5	IC50	Inhibition of human recombinant IDO expressed in HEK293 cells assessed as blockade of tryptophan degradation by HPLC	P14902		Confirmatory	20055453	3620	2	3
443996	0	103707642	44465947	Inconclusive		IC50	Inhibition of human recombinant IDO expressed in HEK293 cells assessed as blockade of tryptophan degradation by HPLC	P14902		Confirmatory	20055453	3620	1	3
